Name	Address	Lat	Lng	Rating	User_ratings_total	Category
Waldron Hill Buskirk Park	331 S Washington St, Bloomington	39.1636461	-86.53177199999999	4.3	53	park
Southeast Park	Bloomington	39.1490391	-86.50427379999999	4.7	72	park
Will Detmer Park	4140 W Vernal Pike, Bloomington	39.1800095	-86.5796009	4.5	232	park
Broadview Park	704 W Graham Dr, Bloomington	39.1402676	-86.5411446	4.4	34	park
Park Ridge Park	3421 E Longview Ave, Bloomington	39.1678957	-86.49013599999999	4.5	51	park
Winslow Woods Park	2301 S Highland Ave, Bloomington	39.1416777	-86.516767	4.5	57	park
Building Trades Park	619 W Howe St, Bloomington	39.1619169	-86.5408891	4.3	126	park
Crestmont Park	1001 W 16th St, Bloomington	39.1773288	-86.54739219999999	3.7	91	park
Rev. Ernest D. Butler Park	812 W 9th St, Bloomington	39.1711741	-86.5429077	4.5	164	park
Sherwood Oaks Park	1600 E Elliston Dr, Bloomington	39.1295057	-86.51354049999999	4.5	168	park
Peoples Park	501 E Kirkwood Ave, Bloomington	39.1667545	-86.5279943	3.9	35	park
Switchyard Park	239 W Grimes Ln, Bloomington	39.1521742	-86.53558559999999	5	3	park
Campbells Park	100 S Park St, Ellettsville	39.2281753	-86.6197255	4.1	71	park
Switchyard Park	1601 S Rogers St, Bloomington	39.1477048	-86.53843739999999	4.8	500	park
Cathcart Park	015-26695, 00, Bloomington	39.1467224	-86.5018134	4.8	4	park
Highland village park	880-884, S Western Dr, Bloomington	39.1583046	-86.5878865	4.3	38	park
Park Ridge East Park	4500 E Morningside Dr, Bloomington	39.1670904	-86.47433079999999	4.5	99	park
Monroe County Parks & Recreation	501 N Morton St #100, Bloomington	39.1703125	-86.53697389999999	4.3	7	park
RCA Community Park Playground	1400 W Rca Park Dr, Bloomington	39.1450339	-86.5459216	4.5	177	park
Lower Cascades Park	2851 Old State Rd 37, Bloomington	39.1978201	-86.5376592	4.7	649	park
Cheddar's Scratch Kitchen	126 S Franklin Rd, Bloomington	39.1660547	-86.5714665	4.2	2053	restaurant
Cloverleaf Family Restaurant	4023 W 3rd St, Bloomington	39.1641239	-86.5841552	4.4	1114	restaurant
Dats	408 E 4th St, Bloomington	39.1653297	-86.52928399999999	4.1	292	restaurant
The Elm Restaurant	614 E 2nd St, Bloomington	39.1611434	-86.52629759999999	4.7	73	restaurant
O'Charley's Restaurant & Bar	360 N Jacob Dr, Bloomington	39.1702133	-86.57192189999999	4.1	1322	restaurant
Yogi's	302 N Walnut St, Bloomington	39.1688417	-86.53342909999999	3.9	252	restaurant
Hive	2608 E 10th St, Bloomington	39.1708491	-86.5011737	4.3	291	restaurant
Feta	600 E Hillside Dr, Bloomington	39.1504163	-86.52669329999999	4.5	276	restaurant
SmokeWorks	121 N College Ave, Bloomington	39.1673295	-86.5350301	4.2	392	restaurant
Southern Stone	405 W Patterson Dr, Bloomington	39.1535466	-86.53847239999999	4.1	645	restaurant
Social Cantina	125 N College Ave, Bloomington	39.1674315	-86.53503049999999	4.3	896	restaurant
Chubbies Diner	118 E Kirkwood Ave, Bloomington	39.1662875	-86.53276869999999	4.2	21	restaurant
Big Woods Bloomington	116 N Grant St, Bloomington	39.1671132	-86.5297008	4.4	944	restaurant
Restaurant Ami	1500 E 3rd St, Bloomington	39.164133	-86.51513109999999	4.4	546	restaurant
Juannita's	620 W Kirkwood Ave, Bloomington	39.1668263	-86.5406788	4	719	restaurant
Burma Garden Restaurant (Mandalay)	413 E 4th St, Bloomington	39.1656855	-86.5291029	4.7	181	restaurant
Applebee's Grill + Bar	2800 E 3rd St, Bloomington	39.16194309999999	-86.49667579999999	4.1	823	restaurant
Cloverleaf South Restaurant	325 E Winslow Rd, Bloomington	39.13736129999999	-86.5257596	4.6	750	restaurant
Bob Evans	3233 W 3rd St, Bloomington	39.1639841	-86.5758537	3.7	887	restaurant
My Thai Cafe & Sushi Bar	3316 W 3rd St, Bloomington	39.1654524	-86.57658459999999	4.5	576	restaurant
Soma Coffeehouse and Juice Bar	322 E Kirkwood Ave, Bloomington	39.166225	-86.5300472	4.5	455	coffee shop
Brilliant Coffee Company	217 W 6th St, Bloomington	39.1673509	-86.53578329999999	4.8	106	coffee shop
Crumble Coffee and Bakery	1567 S Piazza Dr, Bloomington	39.1491064	-86.49965019999999	4.6	228	coffee shop
Hopscotch Coffee	235 W Dodds St #102, Bloomington	39.1571654	-86.5360685	4.6	586	coffee shop
Poindexter Coffee	210 E Kirkwood Ave, Bloomington	39.166355	-86.5311943	4.4	59	coffee shop
Needmore Coffee Roasters	104 N Pete Ellis Dr Suite E, Bloomington	39.16705169999999	-86.49448199999999	4.6	317	coffee shop
Starbucks	284 North Jacob Drive, W Whitehall Crossing Blvd, Bloomington	39.1685239	-86.5731289	4	746	coffee shop
Crumble Coffee and Bakery	532 N College Ave, Bloomington	39.1714796	-86.53468819999999	4.6	262	coffee shop
Hopscotch Coffee Roastery / To-Go	212 N Madison St, Bloomington	39.168136	-86.53717220000001	4.6	129	coffee shop
Soma Coffee House And Juice Bar East	1400 E 3rd St, Bloomington	39.163836	-86.51626499999999	4.4	305	coffee shop
Americano	5492 IN-46, Bloomington	39.2212336	-86.6050759	4.7	115	coffee shop
Soma Coffee House & Juice Bar	581 E Hillside Dr Suite104, Bloomington	39.1507565	-86.5271094	4.5	63	coffee shop
Verona Coffee House	3105 S Sare Rd suite 101, Bloomington	39.1334204	-86.4976251	5	32	coffee shop
The Inkwell Bakery & Cafe	401 S Woodlawn Ave, Bloomington	39.1630274	-86.5224901	4.7	18	coffee shop
Starbucks	110 S Indiana Ave, Bloomington	39.16613	-86.527074	4.3	278	coffee shop
Crumble Coffee and Bakery	316 S Swain Ave, Bloomington	39.1634392	-86.5156897	5	2	coffee shop
Starbucks	2105 Liberty Dr, Bloomington	39.1461	-86.57723999999999	4.1	12	coffee shop
The Caffeinated Cook	206 N Sale St, Ellettsville	39.234411	-86.62386699999999	4.9	29	coffee shop
Starbucks	2966 E 3rd St, Bloomington	39.1620696	-86.494209	3.2	29	coffee shop
Starbucks	1921 S Walnut St, Bloomington	39.145471	-86.53172599999999	4.2	556	coffee shop
Wylie House Museum	307 E 2nd St, Bloomington	39.1616659	-86.5308769	4.8	37	museum
The Farmer House Museum	529 N College Ave, Bloomington	39.1713544	-86.5349519	3	11	museum
Eskenazi Museum of Art	Eskenazi Museum of Art, 1133 E 7th St, Bloomington	39.169186	-86.51975809999999	4.6	93	museum
Monroe County History Center	202 E 6th St, Bloomington	39.1671964	-86.5319401	4.5	60	museum
WonderLab Science Museum	308 W 4th St, Bloomington	39.1659081	-86.5366466	4.8	739	museum
IU Museum of Archaeology and Anthropology	416 N Indiana Ave, Bloomington	39.1700344	-86.5262383	0	0	museum
Museum of the Person USA	1905 N Range Rd, Bloomington	39.1748229	-86.49959869999999	0	0	museum
Grunwald Gallery of Art	Fine Arts Building, 1201 E 7th St, Bloomington	39.1688637	-86.51897489999999	4.6	12	museum
Ellettsville Old Town Hall History Center	Town Council, 221 N Sale St, Ellettsville	39.2348916	-86.6235923	0	0	museum
